trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
LaGrange,77,91,92,94,86,90,91,92,98,93,90,87,94,96,91,100
Case Keenum,25,35,17,24,16,27,32,26,16,27,28,22,17,20,17,83
Justin Verlander,32,66,100,57,52,43,43,34,41,43,26,43,47,24,52,52
Ian Cole,7,4,4,8,3,3,5,3,5,5,2,8,99,79,21,100
Mark Alt,7,30,27,12,31,19,14,14,15,27,21,9,19,7,33,100
Pac-12 Hall of Honor,7,30,27,12,31,19,14,14,15,27,21,9,19,7,33,100
9th Circuit,62,79,62,31,82,27,27,20,54,60,44,63,23,26,100,63
Syndergaard,12,20,8,16,33,22,9,12,19,15,16,36,18,9,84,100
Orlando Cepeda,4,0,3,3,5,11,0,0,78,100,74,26,30,14,15,16
Governors,65,65,66,61,66,59,62,64,74,71,77,73,58,60,100,99
US Open,61,63,59,54,62,53,69,77,100,60,51,56,51,57,61,58
Altuve,94,60,77,55,86,94,64,65,95,100,68,78,61,91,66,97
Ryan McDonagh,2,4,3,5,3,3,4,1,1,2,6,8,4,12,100,23
U.S. Open,26,90,90,26,93,44,44,77,25,62,64,26,72,71,100,75
JaCoby Jones,0,45,0,46,0,77,51,45,66,66,0,0,51,100,66,88
Spring Garden,84,75,92,62,63,100,57,54,84,86,88,80,82,97,83,100
Gausman,17,26,52,17,36,0,39,17,34,17,0,0,39,19,100,50
Someone Great,54,73,70,76,64,29,70,54,53,55,79,100,46,68,65,78
Paul Stastny,1,0,1,1,1,1,1,1,0,<1,1,1,0,0,1,100
Lincoln Tunnel,33,39,34,15,25,20,22,22,19,37,9,10,100,27,16,52
Supreme Court,71,75,62,72,78,44,35,64,99,100,82,69,41,45,98,96
I PLEDGE TO WORK FOR FREE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100
AP Poll,12,100,23,7,6,9,4,3,60,23,7,6,5,8,9,49
Maddy Wilford,0,0,0,0,20,32,35,34,12,15,7,2,2,2,7,46
Education Department,91,86,74,84,70,41,40,67,83,81,88,76,41,45,100,100
Ashton Hagans,5,16,0,5,6,0,6,0,0,0,0,6,6,0,100,53
Josh Jooris,2,0,0,2,0,0,0,0,0,2,0,0,0,0,100,10
Jason Chimera,0,5,5,5,0,0,5,0,5,5,0,0,0,5,100,20
Sergachev,12,25,8,4,13,0,23,8,16,20,8,25,23,23,100,24
McDonagh,10,13,9,10,9,13,30,25,11,14,14,14,16,20,100,35
Maroon,82,79,72,80,81,87,90,76,71,77,77,82,85,86,100,86
Khavon Moore,7,7,0,15,0,0,0,0,0,0,0,0,0,8,100,46
Kevin Smith,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,100
Johnny Cash,74,63,57,64,66,63,77,94,65,55,58,67,73,82,89,100
Namestnikov,0,0,1,1,0,1,4,1,1,1,2,3,2,3,100,40
Matt Read,38,19,47,19,48,21,32,37,55,18,19,29,53,41,82,100
Tommy Wingels,0,2,4,0,2,3,2,0,0,2,2,2,4,2,100,38
Karlsson,18,19,23,24,26,23,23,20,22,23,41,37,58,57,100,39
Larissa Boyce,0,0,0,0,0,0,0,100,0,0,0,0,0,0,49,0
Mike Green,21,31,15,21,14,9,14,23,24,20,30,10,14,29,100,30
Freshman of the Week,0,97,0,97,100,0,0,96,0,93,0,0,0,0,0,94
Steve Yzerman,59,44,30,52,84,75,91,37,86,50,29,45,58,65,93,100
Kurt Coleman,5,5,5,14,9,0,0,0,4,4,7,9,5,5,100,71
Ryan Hartman,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,100
Heather Locklear,2,2,1,2,5,2,2,5,2,1,2,2,2,2,3,85
Pernell McPhee,0,0,0,0,0,11,11,0,0,14,0,10,0,0,67,100
Hansel Robles,69,0,0,0,36,39,0,0,34,33,0,0,0,0,33,100
Noah Syndergaard,0,22,14,12,31,18,9,12,16,16,16,16,14,13,74,100
Garth Snow,20,20,59,100,0,22,22,19,19,0,29,20,44,43,19,57
Thomas Vanek,3,3,1,5,4,4,6,3,3,7,2,4,11,6,100,31
Botterill,46,46,30,61,31,34,85,60,0,74,75,62,51,100,73,59
Ryan Seacrest's E,46,46,30,61,31,34,85,60,0,74,75,62,51,100,73,59
Fix NICS,0,0,0,0,0,17,25,80,93,14,51,60,83,49,64,100
Casey DeSmith,50,0,0,51,0,0,57,100,0,0,0,0,0,0,49,98
Felix Hernandez,19,15,15,8,15,15,17,19,9,16,9,11,6,8,85,100
Wingels,0,0,6,2,2,4,2,2,2,4,4,0,2,2,100,45
Mike Reilly,0,3,1,1,2,0,0,0,1,0,2,3,1,2,100,26
Bill Cosby,13,11,8,8,7,8,7,6,6,6,6,6,6,6,78,100
Pitcher of the Week,0,98,0,100,0,0,0,0,0,0,0,0,0,0,94,95
Mo Bamba,11,34,14,14,9,100,26,6,11,19,18,14,35,30,30,54
Ashton Hagans,5,16,0,5,6,0,6,0,0,0,0,6,6,0,100,53
Ensa,3,3,3,3,3,3,2,3,3,3,3,2,3,2,85,100
Ensa Cosby,0,0,0,0,0,0,0,0,0,0,0,0,<1,<1,77,100
Tommy Wingels,0,2,4,0,2,3,2,0,0,2,2,2,4,2,100,38
Patrick Maroon,6,10,4,3,8,3,0,2,8,10,3,7,3,11,100,44
Ryan Graves,16,22,27,17,11,0,12,11,0,21,16,22,24,0,100,90
Mike Mayock,34,11,11,94,83,65,51,57,67,56,67,23,51,13,55,100
Hornqvist,11,5,5,6,28,19,12,5,0,0,5,6,6,24,100,90
Fat Pig,61,56,59,72,86,58,52,61,60,45,63,82,69,59,69,100
Jetpacks,23,8,15,13,13,18,9,18,10,15,13,10,17,14,15,100
Evander Kane,2,5,2,2,2,3,1,2,3,4,5,7,8,33,100,38
I PLEDGE TO WORK FOR FREE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100
Jake Burger,4,8,4,0,7,5,9,6,4,8,8,6,5,14,59,100
Quintin Demps,0,0,0,0,13,15,0,0,0,13,13,13,0,14,44,100
North Pole,57,50,50,52,39,42,57,44,51,49,52,43,55,56,65,100
Big Ten Coach of the Year,0,0,0,0,0,0,0,0,0,0,0,0,58,57,0,100
Hope's Wish,0,48,0,74,100,55,0,48,0,47,96,49,54,53,94,0
Jordan Bell,37,52,29,51,24,36,32,24,31,36,30,87,39,100,47,71
Matthew Highmore,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,100
Ryan McDonagh,2,4,3,5,3,3,4,1,1,2,6,8,4,12,100,23
Keita Bates-Diop,100,33,33,67,69,0,75,0,32,0,0,0,37,0,64,0
Chance Adams,0,100,0,34,34,38,0,0,0,0,33,34,0,37,97,0
Tracy Morgan,41,36,45,47,41,78,100,78,63,93,56,46,67,85,48,60
Chicago West,39,36,31,33,36,29,23,27,31,25,35,27,31,31,48,100
Apple ID,91,81,88,88,88,100,90,89,82,82,85,84,98,92,90,99
50 Cent,97,96,74,89,87,98,100,73,79,83,72,87,98,90,91,94
Russell Wilson,19,12,12,15,17,16,13,13,12,9,18,26,13,11,44,100
Cynthia Marshall,3,0,0,3,0,0,0,3,3,0,0,0,3,3,74,100
Will Wade,16,11,16,17,8,12,15,0,0,11,13,14,27,24,100,18
Tatar,26,28,29,31,28,34,31,25,28,29,21,24,32,28,100,66
Aron Baynes,55,25,17,47,9,10,10,17,12,8,17,13,100,65,33,25
Larry Eustachy,66,29,29,22,8,17,8,0,14,14,22,7,8,8,43,100
Player of the Week,37,48,100,62,34,59,11,16,62,93,51,42,24,27,16,69
Chris McDaniel,19,19,19,29,19,21,21,0,18,0,37,29,0,0,82,100
Andrew Jones,32,100,22,25,17,50,16,21,20,15,20,15,13,16,27,19
Antoine Fuqua,21,14,27,35,21,23,39,48,60,33,13,28,46,38,40,100
Ensa,3,3,3,3,3,3,2,3,3,3,3,2,3,2,85,100
Fahrenheit 451,30,23,23,26,25,13,19,23,27,30,28,25,18,23,51,100
All-Big Ten,30,23,23,26,25,13,19,23,27,30,28,25,18,23,51,100
Stephen Miller,27,27,21,30,28,26,28,30,21,15,28,21,26,24,69,100
Trevon Duval,71,48,71,56,41,18,54,39,23,23,47,40,36,79,38,100
Smackdown,19,26,100,34,25,28,27,22,23,92,29,26,29,26,22,32
Donald Glover,37,42,38,34,34,37,37,41,38,33,40,41,41,50,50,100
Justin Robinson,26,17,26,70,35,78,48,60,0,58,42,26,48,28,67,100
John Cena,58,71,59,59,58,71,67,56,63,54,54,60,73,84,86,100
Bayley,49,100,55,55,46,48,50,37,60,46,42,43,39,47,87,95
Calvert,90,80,74,86,100,66,75,80,84,74,90,89,80,84,84,95
Michael Beasley,30,100,40,32,15,7,12,13,6,11,16,23,16,31,25,85
Devin Booker,5,11,6,5,4,5,100,16,8,6,5,5,5,6,4,9
Vontae Davis,10,6,1,7,14,10,5,3,20,17,16,13,5,4,4,100
Duval,91,97,92,84,89,76,73,88,95,96,91,88,72,64,94,100
Jerry Jones,24,15,10,16,9,11,11,11,8,15,8,9,6,13,64,100
Cam Payne,0,0,0,30,31,0,0,0,29,29,59,46,34,100,0,59
Irvine,92,93,83,88,87,87,83,80,89,82,88,91,83,81,88,100
JaVale McGee,21,38,18,42,24,30,26,6,17,14,17,54,23,78,26,100
Nikita Kucherov,7,26,22,27,30,32,19,17,16,86,24,34,30,40,21,100
Butch Jones,5,7,11,20,13,11,15,5,6,13,3,5,7,5,9,100
Hope Hicks,41,39,25,15,10,11,17,6,5,4,5,6,10,7,5,100
Hauser,95,100,84,81,90,74,70,89,94,85,93,77,69,78,97,94
Mudiay,100,36,17,15,19,11,9,5,4,8,9,23,11,20,10,58
Alex Abrines,83,62,51,63,21,0,23,31,50,20,20,21,23,68,40,100
Ryan Seacrest,7,7,10,19,7,4,4,9,8,6,9,8,3,4,11,100
Farrah,26,33,19,20,20,23,23,23,49,44,53,43,36,32,28,100
Dale Weise,59,30,30,0,31,0,100,88,29,43,29,90,0,33,0,43
Taker,81,72,91,71,100,79,79,77,70,81,85,79,77,87,79,76
Metropolitan Division,18,30,48,49,19,69,75,84,41,24,12,62,27,47,41,100
26 PTS,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Blacksburg,71,80,82,87,80,100,72,99,65,81,63,81,79,79,95,73
Dan Dakich,20,8,19,12,8,0,11,8,5,37,16,14,41,10,100,93
Don Johnson,47,64,49,44,72,62,72,63,45,52,39,53,57,62,37,100
Jarrett Allen,8,21,5,8,8,12,3,3,4,5,8,3,3,4,5,100
Mrazek,1,1,4,1,2,3,7,12,100,24,8,23,12,10,5,31
Jaylen Brown,14,16,12,25,22,100,34,20,11,17,14,7,28,38,20,20
Sheamus,48,88,74,61,43,52,54,53,61,40,49,44,50,57,100,99
Myles Turner,59,29,37,75,46,50,50,44,50,29,29,45,50,32,43,100
Miguel Andujar,0,0,9,9,10,11,11,9,36,72,28,28,11,10,0,100
Delta,89,87,85,89,88,76,76,92,94,91,91,87,79,77,93,100
Stacey Dash,10,3,3,3,3,2,1,3,2,2,2,2,3,2,26,100
Va Tech,46,30,46,55,32,45,35,36,31,27,57,35,54,30,36,100
The Miz,41,61,30,36,43,47,35,39,49,35,28,35,48,30,67,100
Hokies,21,7,12,21,15,40,29,7,9,14,48,21,55,21,14,100
Petr Mrazek,2,1,2,0,0,1,10,10,100,24,9,14,10,9,6,35
John Cena,58,71,59,59,58,71,67,56,63,54,54,60,73,84,86,100
Kurt Angle,37,67,36,32,33,38,44,41,30,27,31,22,35,39,81,100
Texas 70,44,44,0,30,61,50,66,44,43,57,88,75,50,81,29,100
Taker,81,72,91,71,100,79,79,77,70,81,85,79,77,87,79,76
Gobert,100,96,83,60,50,42,31,57,43,57,46,53,58,53,48,70
Luc Mbah a Moute,28,28,28,14,10,32,11,19,9,18,14,10,53,10,54,100
Don Johnson,47,64,49,44,72,62,72,63,45,52,39,53,57,62,37,100
Chris Clarke,33,12,25,13,26,33,19,29,8,8,16,13,37,23,36,100
Harden,56,51,52,55,62,62,65,100,54,45,46,52,75,56,67,62
Reilly Smith,59,29,59,60,30,50,99,73,43,29,58,30,66,32,28,100
Buzz Williams,3,2,3,5,2,2,0,2,5,5,3,0,7,2,2,100
26 PTS,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Bruno Caboclo,32,44,55,40,25,9,18,16,15,12,20,40,22,26,23,100
Bill Self,25,21,28,36,37,44,60,42,59,58,28,43,100,35,35,83
Donald Glover,37,42,38,34,34,37,37,41,38,33,40,41,41,50,50,100
Kristy Wallace,0,0,0,0,0,12,0,0,11,21,11,0,0,0,0,100
Devin Booker,5,11,6,5,4,5,100,16,8,6,5,5,5,6,4,9
Brandon Ingram,35,34,32,53,81,87,37,40,100,78,32,30,81,54,35,86
Quin Snyder,46,100,31,47,16,35,35,0,15,45,15,47,60,34,37,45
Cry Baby,78,77,62,76,74,100,98,93,60,71,58,73,75,91,70,62
Jeff Carter,75,32,54,22,33,18,12,21,21,52,31,22,18,100,41,57
Alex Abrines,83,62,51,63,21,0,23,31,50,20,20,21,23,68,40,100
Ryan Seacrest,7,7,10,19,7,4,4,9,8,6,9,8,3,4,11,100
Fleury,81,86,91,100,93,90,75,96,96,97,98,93,86,66,91,95
Petr Mrazek,2,1,2,0,0,1,10,10,100,24,9,14,10,9,6,35
The Jazz,89,100,90,98,78,72,77,69,83,85,78,73,90,91,79,88
Ivanka Trump's South Korea,89,100,90,98,78,72,77,69,83,85,78,73,90,91,79,88
Texas 70,44,44,0,30,61,50,66,44,43,57,88,75,50,81,29,100
Happy Valley,81,75,100,79,89,82,91,82,74,90,82,89,75,90,78,70
Towns,79,76,70,73,74,75,96,100,77,75,78,73,78,91,78,76
Companies Spend More,49,49,0,0,0,0,0,0,48,0,49,100,55,54,96,96
Becca,22,55,32,24,23,23,28,25,45,27,24,26,26,25,41,100
Ivanka Should Quit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Clifford,21,21,100,62,36,26,25,24,25,22,21,23,19,19,24,23
Jonathan Quick,78,49,20,60,30,100,55,78,57,76,77,80,66,86,38,57
Fixer Upper,55,48,59,45,37,69,88,52,47,71,44,38,38,100,44,47
Sean Hannity,46,98,100,65,79,62,39,46,65,58,88,62,33,29,34,58
Stacey Dash,10,3,3,3,3,2,1,3,2,2,2,2,3,2,26,100
Jerry Jones,24,15,10,16,9,11,11,11,8,15,8,9,6,13,64,100
Colbert,60,63,67,65,68,59,54,43,66,75,83,73,65,49,49,100
Ivanka Trump,31,28,22,20,21,25,22,22,21,23,27,49,71,84,100,73
Lagrange,95,100,88,81,87,78,88,85,88,82,72,89,79,78,89,90
Anthony Davis,13,19,12,30,15,16,15,61,14,23,16,15,36,25,17,100
Heather Locklear,2,2,2,4,2,3,5,3,1,2,1,2,2,2,81,100
Greater Manchester,100,74,64,65,76,47,65,86,85,71,80,62,58,56,84,84
Dollars in Federal Taxes,0,0,52,0,0,59,0,0,0,100,51,0,0,0,0,0
Kevin Smith,2,2,3,2,2,2,3,2,2,2,2,2,2,2,100,52
Joe Yun,0,0,0,0,53,58,0,0,0,50,0,0,0,0,0,100
I-95 SB,0,0,0,0,53,58,0,0,0,50,0,0,0,0,0,100
Florida Senate,32,27,42,56,26,26,21,31,51,98,100,51,31,14,47,86
Henry County,85,89,74,71,75,48,53,76,80,82,63,70,42,53,92,100
Trump's Tax Cuts in Hand,85,89,74,71,75,48,53,76,80,82,63,70,42,53,92,100
SIGALERT CANCELLATION,85,89,74,71,75,48,53,76,80,82,63,70,42,53,92,100
Vero,15,13,15,15,14,16,15,15,14,17,20,19,25,56,100,94
Supreme Court,75,70,66,76,79,48,44,63,89,97,88,72,41,43,97,100
DeKalb County,98,100,86,77,85,51,59,88,89,100,94,98,43,46,99,98
Rupert Murdoch,38,38,15,28,18,38,38,25,33,22,25,33,28,33,28,100
Safaree,<1,<1,<1,<1,<1,<1,<1,<1,1,1,<1,<1,<1,<1,100,88
Delta,89,87,85,89,88,76,76,92,94,91,91,87,79,77,93,100
Murdoch,68,82,67,68,60,47,71,74,71,70,80,76,73,82,85,100
Jalen Ramsey,29,30,24,37,29,19,19,27,25,14,20,24,19,38,14,100
Juniors,68,42,32,31,30,48,59,95,35,33,32,36,42,100,70,40
SeaWorld,65,61,59,67,79,100,95,82,69,70,70,77,86,94,82,74
Major EPA,0,34,51,0,35,0,0,0,100,33,34,0,0,0,0,33
World Championship,59,70,69,66,67,88,86,59,61,78,62,80,79,87,100,76
The Kochs,0,0,69,0,0,0,0,0,0,0,0,0,0,75,67,100
Marian Anderson,49,56,63,83,43,40,21,35,75,100,97,78,18,36,70,70
Ryan Seacrest,7,7,10,19,7,4,4,9,8,6,9,8,3,4,11,100
We're ON-AIR,7,7,10,19,7,4,4,9,8,6,9,8,3,4,11,100
Stafford County,93,59,57,68,63,29,38,54,66,78,77,56,35,30,69,100
Butch Jones,5,7,11,20,13,11,15,5,6,13,3,5,7,5,9,100
H\xe9ctor O'Neill,5,7,11,20,13,11,15,5,6,13,3,5,7,5,9,100
Bowdoinham,0,14,0,0,28,0,0,0,53,13,27,21,15,45,20,100
Golden State Warriors,32,69,34,79,27,22,18,20,19,19,25,65,33,100,31,66
Straits of Mackinac,52,0,0,0,0,0,0,0,0,100,0,0,58,57,75,100
Elizabeth Taylor,50,62,50,61,51,91,95,83,52,51,59,64,62,67,52,100
BYGONE BADASS BROADS,100,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
SeaWorld CEO Joel Manby,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,100
Trump's Tax Cuts in Hand,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,100
Wealth of Congress,32,32,0,0,100,0,36,32,0,32,0,65,0,0,0,47
Crawford County,100,67,63,67,76,60,34,53,80,80,69,69,60,44,71,90
Dion Lewis,100,64,18,29,26,36,24,35,28,31,14,29,44,27,35,73
Tom Rathman,34,0,0,0,0,39,38,0,0,0,0,0,0,0,33,100
SeaWorld,65,61,59,67,79,100,95,82,69,70,70,77,86,94,82,74
WITCH HUNT,46,61,68,19,39,34,34,42,33,37,49,27,17,29,30,100
HEART OF IRON,71,63,71,73,61,100,80,79,57,69,100,90,66,74,85,61
Teddy Bridgewater,27,23,14,11,13,6,18,21,21,21,14,20,10,12,33,100
Harry Padilla,0,0,0,0,0,0,0,0,0,96,0,100,0,0,0,96
Corker,59,100,69,84,67,29,39,39,53,34,39,35,17,38,32,95
Dolly Parton,51,51,54,48,61,65,65,50,46,44,46,60,60,66,44,100
Boeing,84,86,95,89,80,71,73,78,79,82,80,79,70,69,86,100
Henry Wadsworth Longfellow,63,37,26,43,54,48,100,16,71,31,26,37,24,29,35,76
WORLD EXCLUSIVE,91,100,82,92,75,62,72,90,71,71,63,37,82,50,44,62
Imagination Library,26,29,39,23,40,36,25,29,50,47,73,39,36,28,19,100
Sen. Bob Corker,26,29,39,23,40,36,25,29,50,47,73,39,36,28,19,100
SHOCK ANNOUNCEMENT,0,16,16,0,0,18,0,0,0,0,0,0,0,0,0,100
Bill Northey,0,0,46,0,0,0,0,0,0,44,0,0,0,0,0,100
Achilles,95,97,90,86,79,88,85,95,86,94,100,92,92,91,99,98
Elizabeth Taylor,50,58,45,59,49,91,95,78,59,48,53,68,65,64,56,100
Gen. Votel,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Travis Boyd,0,0,0,0,35,0,77,67,0,34,0,0,0,75,0,100
Riley Nash,0,5,23,9,0,5,5,5,5,5,9,0,10,100,43,18
Grassley and Toomey,0,5,23,9,0,5,5,5,5,5,9,0,10,100,43,18
Corker,86,96,96,62,63,32,69,37,47,41,37,33,34,29,48,100
All-SEC,100,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
