trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
NYC in February,22,93,57,88,56,100,95,55,84,63,63,94,50,82,60,33
Mark Cuban,12,12,10,8,9,18,13,11,11,9,13,12,13,13,86,100
Born A Crime,11,11,5,5,7,7,11,4,6,3,5,6,5,6,15,100
Oshae Brissett,86,0,0,100,0,0,90,0,89,0,0,0,88,0,86,88
Billy Graham Library,2,3,2,2,2,3,0,2,2,3,10,5,2,2,100,88
Jack Salt,63,85,33,86,61,32,54,43,33,45,100,61,96,42,74,43
The Boys Are Not All Right,0,0,14,0,0,0,0,0,0,14,0,0,13,0,0,100
Orono,13,17,12,10,14,23,15,15,14,14,14,16,16,19,100,70
Cam Sanders,0,51,53,0,0,0,0,0,0,0,0,0,0,0,100,51
Mark Barden,0,0,0,0,0,0,13,0,13,0,0,0,12,0,24,100
Zhaire Smith,0,100,60,33,33,0,29,72,0,30,0,33,0,0,0,43
Agust D,34,44,37,41,44,42,44,33,32,36,50,52,40,36,76,100
Mujahid Ramzziddin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,68
De Gea,19,21,23,18,26,14,14,14,14,11,19,18,14,14,87,100
Kyle Guy,31,64,25,73,100,48,36,80,24,54,46,82,72,39,47,100
Rudy Gay,20,63,54,15,100,48,48,61,23,26,21,36,36,27,33,61
Desi Rodriguez,22,33,23,0,25,0,0,0,0,0,26,100,22,0,0,99
Mike Watkins,15,31,16,35,35,47,16,15,39,32,26,35,54,0,15,100
Raj Nair,1,0,<1,1,0,<1,<1,0,<1,<1,1,<1,<1,<1,45,100
Paul Millsap,46,47,41,100,58,44,48,80,67,72,25,33,51,32,72,76
Darcy Kuemper,0,8,8,0,4,0,0,4,0,4,0,4,0,0,15,100
Robert Runcie,4,0,0,0,0,0,0,55,100,26,8,21,7,7,9,43
OF Jabari Blash,4,0,0,0,0,0,0,55,100,26,8,21,7,7,9,43
Brandon Jennings,20,23,13,21,23,8,100,88,24,5,18,21,10,15,15,86
Alumni Hall,37,50,56,29,24,38,34,38,47,39,33,62,17,37,37,100
Brissett,100,68,28,70,54,55,41,20,48,21,47,16,27,13,33,61
Troy Murray,9,0,0,10,0,9,9,9,0,0,10,10,0,13,9,100
Auburn Arena,71,72,25,0,27,0,24,24,97,100,54,54,72,23,71,72
Carr,94,100,92,69,64,95,88,89,79,80,53,58,72,79,79,82
Ben Lammers,0,0,91,0,100,67,44,44,0,46,0,0,0,0,0,88
Tyus Battle,43,22,0,25,100,22,90,22,68,0,51,0,0,22,0,66
Ma'Khail Hilliard,43,22,0,25,100,22,90,22,68,0,51,0,0,22,0,66
Jessie Diggins,1,3,5,15,21,4,11,29,20,5,9,7,6,2,45,100
End Up Being Democrats,1,3,5,15,21,4,11,29,20,5,9,7,6,2,45,100
Donovan Jackson,13,13,14,46,15,34,40,40,48,42,15,30,20,39,39,100
Javin DeLaurier,0,0,52,0,0,51,0,0,76,0,0,57,50,0,0,100
Betsy DeVos,38,26,52,35,17,38,49,29,44,45,25,39,37,33,74,100
Ty Jerome,49,50,0,72,100,51,25,76,51,53,0,0,25,25,25,88
Austin Bain,87,0,0,0,0,0,0,88,0,0,100,0,0,0,87,88
John Petty,55,50,39,36,49,31,44,25,32,32,100,85,25,49,43,43
Chukwu,35,57,66,24,32,79,50,100,51,41,65,52,32,60,56,71
No. 6 Texas Tech,35,57,66,24,32,79,50,100,51,41,65,52,32,60,56,71
Duncan Robinson,0,35,14,0,32,14,14,28,100,29,16,48,14,55,27,63
Media Timeout,100,51,0,58,0,0,0,51,78,0,0,58,51,0,100,0
Jordan Poole,11,0,0,0,16,12,0,0,6,6,0,58,37,8,0,100
Matt Duchene,81,55,100,47,31,21,14,34,7,64,48,39,7,14,0,48
Bill Nelson,4,7,5,1,2,7,9,25,45,20,8,12,8,5,7,100
Iron Bowl,67,91,24,43,52,54,100,46,77,47,61,35,46,52,45,84
